region,province,municipality,id_hh,id_ind,stratum,stratum_label,sex,cl_age,active,income_hh,unemployed,inactive,SR,nSR,weight
north,north_1,8,H13878,2128390,9000,north_1_3,2,(34,44],1,11403.099650276,0,0,1,0,290.103125
north,north_1,8,H14026,2128805,9000,north_1_3,1,(44,54],1,22305.2424074725,0,0,1,0,290.103125
north,north_1,8,H14069,2128939,9000,north_1_3,2,(0,14],0,21171.0085237604,0,1,1,0,290.103125
north,north_1,8,H21353,2149017,9000,north_1_3,2,(54,64],1,30353.6829203855,0,0,1,0,290.103125
north,north_1,8,H21601,2149681,9000,north_1_3,1,(34,44],1,107290.463022426,0,0,1,0,290.103125
north,north_1,8,H21724,2150007,9000,north_1_3,2,(24,34],1,33373.4780368515,0,0,1,0,290.103125
north,north_1,8,H22006,2150741,9000,north_1_3,2,(0,14],0,10987.3946467016,0,1,1,0,290.103125
north,north_1,8,H22092,2150948,9000,north_1_3,2,(74,112],0,27844.7633764177,0,1,1,0,290.103125
north,north_1,8,H22374,2151699,9000,north_1_3,2,(14,24],1,31397.9273522257,0,0,1,0,290.103125
north,north_1,8,H15524,2133065,9000,north_1_3,1,(24,34],1,9347.92556400289,0,0,1,0,290.103125
north,north_1,8,H15596,2133270,9000,north_1_3,1,(44,54],1,15898.3669944858,0,0,1,0,290.103125
north,north_1,8,H15662,2133467,9000,north_1_3,2,(54,64],0,12373.7264757777,1,0,1,0,290.103125
north,north_1,8,H15714,2133612,9000,north_1_3,1,(44,54],1,87839.9454994155,0,0,1,0,290.103125
north,north_1,8,H15717,2133620,9000,north_1_3,2,(24,34],1,7142.30017320357,0,0,1,0,290.103125
north,north_1,8,H15742,2133697,9000,north_1_3,2,(54,64],1,26893.0895349331,0,0,1,0,290.103125
north,north_1,8,H15803,2133858,9000,north_1_3,2,(74,112],0,10576.1009384499,0,1,1,0,290.103125
north,north_1,8,H15865,2134026,9000,north_1_3,2,(44,54],1,29140.8359726264,0,0,1,0,290.103125
north,north_1,8,H15928,2134185,9000,north_1_3,1,(54,64],1,28355.3877101672,0,0,1,0,290.103125
north,north_1,8,H15968,2134307,9000,north_1_3,1,(14,24],1,20440.040773671,0,0,1,0,290.103125
north,north_1,8,H16009,2134433,9000,north_1_3,1,(24,34],0,656.346853239779,1,0,1,0,290.103125
north,north_1,8,H16168,2134877,9000,north_1_3,1,(0,14],0,8419.38588650632,0,1,1,0,290.103125
north,north_1,8,H16451,2135699,9000,north_1_3,1,(74,112],0,24592.8820417242,0,1,1,0,290.103125
north,north_1,8,H16470,2135757,9000,north_1_3,1,(14,24],1,40593.2731759967,0,0,1,0,290.103125
north,north_1,8,H16481,2135789,9000,north_1_3,2,(14,24],1,83733.5379008369,0,0,1,0,290.103125
north,north_1,8,H16535,2135940,9000,north_1_3,2,(34,44],1,19684.9206612497,0,0,1,0,290.103125
north,north_1,8,H16720,2136457,9000,north_1_3,2,(74,112],0,17039.2545205402,0,1,1,0,290.103125
north,north_1,8,H17067,2137437,9000,north_1_3,1,(54,64],1,16819.6908200301,0,0,1,0,290.103125
north,north_1,8,H17243,2137909,9000,north_1_3,1,(0,14],0,55875.1596425635,0,1,1,0,290.103125
north,north_1,8,H28761,2167863,9000,north_1_3,1,(0,14],0,11307.9660986749,0,1,1,0,290.103125
north,north_1,8,H28815,2167996,9000,north_1_3,1,(54,64],1,20665.5364989223,0,0,1,0,290.103125
north,north_1,8,H28885,2168173,9000,north_1_3,2,(44,54],1,10915.3397395856,0,0,1,0,290.103125
north,north_1,8,H28913,2168239,9000,north_1_3,2,(44,54],1,35810.4740511448,0,0,1,0,290.103125
north,north_1,8,H29101,2168677,9000,north_1_3,1,(44,54],1,69343.571996205,0,0,1,0,290.103125
north,north_1,8,H29189,2168898,9000,north_1_3,2,(0,14],0,24572.9299550106,0,1,1,0,290.103125
north,north_1,8,H29285,2169131,9000,north_1_3,2,(14,24],1,44826.5513375446,0,0,1,0,290.103125
north,north_1,8,H29508,2169658,9000,north_1_3,2,(14,24],1,7284.1472379076,0,0,1,0,290.103125
north,north_1,8,H29567,2169801,9000,north_1_3,2,(74,112],0,12166.8603598554,0,1,1,0,290.103125
north,north_1,8,H29602,2169884,9000,north_1_3,2,(0,14],0,16125.8533477453,0,1,1,0,290.103125
north,north_1,8,H29665,2170054,9000,north_1_3,2,(34,44],1,16976.9434996248,0,0,1,0,290.103125
north,north_1,8,H29734,2170219,9000,north_1_3,2,(64,74],1,22100.7620957525,0,0,1,0,290.103125
north,north_1,8,H29864,2170524,9000,north_1_3,1,(24,34],1,26058.0229268325,0,0,1,0,290.103125
north,north_1,8,H29873,2170545,9000,north_1_3,2,(34,44],1,64915.9611479352,0,0,1,0,290.103125
north,north_1,8,H29999,2170840,9000,north_1_3,1,(44,54],1,28268.3755630529,0,0,1,0,290.103125
north,north_1,8,H30168,2171254,9000,north_1_3,1,(14,24],1,22795.6471378503,0,0,1,0,290.103125
north,north_1,8,H30212,2171360,9000,north_1_3,2,(74,112],0,14892.1703297626,0,1,1,0,290.103125
north,north_1,8,H30484,2171987,9000,north_1_3,1,(24,34],1,13753.7554306222,0,0,1,0,290.103125
north,north_1,8,H30531,2172094,9000,north_1_3,2,(34,44],1,17559.4282747594,0,0,1,0,290.103125
north,north_1,8,H30779,2172676,9000,north_1_3,2,(24,34],1,36739.2619646201,0,0,1,0,290.103125
north,north_1,8,H31214,2173624,9000,north_1_3,1,(14,24],1,39178.8504219578,0,0,1,0,290.103125
north,north_1,8,H31298,2173824,9000,north_1_3,1,(64,74],1,373673.728703261,0,0,1,0,290.103125
north,north_1,8,H31354,2173977,9000,north_1_3,1,(74,112],0,29983.5790657169,0,1,1,0,290.103125
north,north_1,8,H31407,2174093,9000,north_1_3,2,(64,74],1,19629.0181863694,0,0,1,0,290.103125
north,north_1,8,H32170,2175875,9000,north_1_3,1,(44,54],1,21808.9051796516,0,0,1,0,290.103125
north,north_1,8,H32249,2176043,9000,north_1_3,1,(24,34],1,19661.6051380126,0,0,1,0,290.103125
north,north_1,8,H32483,2176580,9000,north_1_3,2,(0,14],0,37577.9468360008,0,1,1,0,290.103125
north,north_1,8,H32533,2176695,9000,north_1_3,1,(0,14],0,1616.72036106066,0,1,1,0,290.103125
north,north_1,8,H32573,2176775,9000,north_1_3,2,(74,112],0,48550.2100496679,0,1,1,0,290.103125
north,north_1,8,H32775,2177225,9000,north_1_3,2,(24,34],1,53551.2391183497,0,0,1,0,290.103125
north,north_1,8,H32804,2177287,9000,north_1_3,1,(64,74],1,78269.6111105691,0,0,1,0,290.103125
north,north_1,8,H32957,2177606,9000,north_1_3,1,(54,64],1,38659.0886453659,0,0,1,0,290.103125
north,north_1,8,H33163,2178056,9000,north_1_3,2,(34,44],1,11644.666333734,0,0,1,0,290.103125
north,north_1,8,H33238,2178214,9000,north_1_3,1,(54,64],1,8372.47323654341,0,0,1,0,290.103125
north,north_1,8,H33346,2178460,9000,north_1_3,1,(34,44],1,23963.6675756856,0,0,1,0,290.103125
north,north_1,8,H33582,2178958,9000,north_1_3,1,(74,112],0,33370.0122421878,0,1,1,0,290.103125
north,north_1,8,H33720,2179263,9000,north_1_3,2,(54,64],1,18116.9587123046,0,0,1,0,290.103125
north,north_1,8,H33759,2179362,9000,north_1_3,2,(44,54],1,56539.0774313998,0,0,1,0,290.103125
north,north_1,8,H33844,2179564,9000,north_1_3,1,(0,14],0,11247.4204201476,0,1,1,0,290.103125
north,north_1,8,H33854,2179589,9000,north_1_3,2,(74,112],0,17804.1882743476,0,1,1,0,290.103125
north,north_1,8,H33948,2179775,9000,north_1_3,2,(44,54],1,40443.817595135,0,0,1,0,290.103125
north,north_1,8,H33971,2179835,9000,north_1_3,2,(74,112],0,36512.3737489098,0,1,1,0,290.103125
north,north_1,8,H34044,2180006,9000,north_1_3,2,(54,64],1,6343.09776117086,0,0,1,0,290.103125
north,north_1,8,H34131,2180196,9000,north_1_3,2,(54,64],0,8825.05092963793,1,0,1,0,290.103125
north,north_1,8,H34269,2180500,9000,north_1_3,2,(44,54],1,21029.5185260164,0,0,1,0,290.103125
north,north_1,8,H34284,2180536,9000,north_1_3,1,(44,54],1,9203.91946542325,0,0,1,0,290.103125
north,north_1,8,H34542,2181109,9000,north_1_3,2,(0,14],0,30245.7306704888,0,1,1,0,290.103125
north,north_1,8,H34767,2181589,9000,north_1_3,2,(74,112],0,29131.1017711666,0,1,1,0,290.103125
north,north_1,8,H34822,2181712,9000,north_1_3,1,(44,54],1,10009.6946411982,0,0,1,0,290.103125
north,north_1,8,H34914,2181932,9000,north_1_3,2,(64,74],1,27471.6042922213,0,0,1,0,290.103125
north,north_1,8,H35008,2182146,9000,north_1_3,1,(0,14],0,12200.5395134078,0,1,1,0,290.103125
north,north_1,8,H35073,2182292,9000,north_1_3,2,(0,14],0,89839.0432054837,0,1,1,0,290.103125
north,north_1,8,H35331,2182850,9000,north_1_3,1,(44,54],1,11308.7942205737,0,0,1,0,290.103125
north,north_1,8,H35445,2183084,9000,north_1_3,1,(44,54],1,48341.9924187421,0,0,1,0,290.103125
north,north_1,8,H35459,2183115,9000,north_1_3,1,(64,74],1,55116.9903764861,0,0,1,0,290.103125
north,north_1,8,H35497,2183190,9000,north_1_3,1,(44,54],1,12742.3921606597,0,0,1,0,290.103125
north,north_1,8,H35585,2183377,9000,north_1_3,1,(14,24],1,34490.0031246944,0,0,1,0,290.103125
north,north_1,8,H35630,2183472,9000,north_1_3,1,(54,64],1,28828.638392647,0,0,1,0,290.103125
north,north_1,8,H35727,2183673,9000,north_1_3,2,(64,74],1,46746.7450384902,0,0,1,0,290.103125
north,north_1,8,H35810,2183847,9000,north_1_3,2,(74,112],0,31933.4564523586,0,1,1,0,290.103125
north,north_1,8,H35840,2183917,9000,north_1_3,1,(74,112],0,17706.7820680499,0,1,1,0,290.103125
north,north_1,8,H35852,2183938,9000,north_1_3,1,(44,54],1,24575.7998852469,0,0,1,0,290.103125
north,north_1,8,H36053,2184365,9000,north_1_3,2,(34,44],1,5841.71517861867,0,0,1,0,290.103125
north,north_1,8,H36204,2184678,9000,north_1_3,2,(74,112],0,23158.8192626481,0,1,1,0,290.103125
north,north_1,8,H36242,2184759,9000,north_1_3,1,(64,74],1,69793.1455430541,0,0,1,0,290.103125
north,north_1,8,H36338,2184945,9000,north_1_3,2,(64,74],1,112742.633389992,0,0,1,0,290.103125
north,north_1,8,H36429,2185138,9000,north_1_3,2,(24,34],1,43270.993676379,0,0,1,0,290.103125
north,north_1,8,H36515,2185314,9000,north_1_3,1,(64,74],1,40550.2160484977,0,0,1,0,290.103125
north,north_1,8,H36843,2186041,9000,north_1_3,2,(64,74],1,24102.7134846004,0,0,1,0,290.103125
north,north_1,8,H37071,2186500,9000,north_1_3,1,(14,24],1,14458.4361286458,0,0,1,0,290.103125
north,north_1,8,H37442,2187283,9000,north_1_3,1,(74,112],0,21470.5677836472,0,1,1,0,290.103125
north,north_1,8,H37648,2187695,9000,north_1_3,2,(24,34],1,77667.5528203631,0,0,1,0,290.103125
north,north_1,8,H37783,2187978,9000,north_1_3,2,(34,44],1,24545.3118924381,0,0,1,0,290.103125
north,north_1,8,H38063,2188564,9000,north_1_3,1,(74,112],0,10521.6737985592,0,1,1,0,290.103125
north,north_1,8,H38336,2189137,9000,north_1_3,1,(64,74],0,8064.35755873635,1,0,1,0,290.103125
north,north_1,8,H38553,2189589,9000,north_1_3,1,(34,44],1,56135.2036225734,0,0,1,0,290.103125
north,north_1,8,H38993,2190435,9000,north_1_3,2,(74,112],0,33359.299842495,0,1,1,0,290.103125
north,north_1,8,H39042,2190534,9000,north_1_3,2,(54,64],1,22081.0238437548,0,0,1,0,290.103125
north,north_1,8,H39440,2191338,9000,north_1_3,1,(34,44],1,41224.8343015929,0,0,1,0,290.103125
north,north_1,8,H39681,2191788,9000,north_1_3,1,(34,44],1,33640.0904714625,0,0,1,0,290.103125
north,north_1,8,H39945,2192296,9000,north_1_3,2,(74,112],0,33043.846391225,0,1,1,0,290.103125
north,north_1,8,H40164,2192696,9000,north_1_3,1,(74,112],0,36155.3004993914,0,1,1,0,290.103125
north,north_1,8,H40238,2192843,9000,north_1_3,1,(44,54],1,19210.7546921641,0,0,1,0,290.103125
north,north_1,8,H40260,2192895,9000,north_1_3,1,(64,74],1,27898.5103115321,0,0,1,0,290.103125
north,north_1,8,H40416,2193181,9000,north_1_3,1,(34,44],1,37463.4622117301,0,0,1,0,290.103125
north,north_1,8,H40469,2193272,9000,north_1_3,2,(74,112],0,8479.91777900324,0,1,1,0,290.103125
north,north_1,8,H40632,2193575,9000,north_1_3,1,(74,112],0,28886.2295286812,0,1,1,0,290.103125
north,north_1,8,H40749,2193787,9000,north_1_3,2,(54,64],1,16998.2443846709,0,0,1,0,290.103125
north,north_1,8,H41231,2194680,9000,north_1_3,1,(34,44],1,30246.7349660676,0,0,1,0,290.103125
north,north_1,8,H41416,2195027,9000,north_1_3,2,(44,54],1,32503.5828063962,0,0,1,0,290.103125
north,north_1,8,H41572,2195300,9000,north_1_3,2,(44,54],0,12714.0637256328,1,0,1,0,290.103125
north,north_1,8,H41903,2195858,9000,north_1_3,2,(44,54],1,48099.661875338,0,0,1,0,290.103125
north,north_1,8,H41940,2195917,9000,north_1_3,2,(44,54],1,40702.5267658844,0,0,1,0,290.103125
north,north_1,8,H42096,2196184,9000,north_1_3,2,(64,74],1,25231.5383204134,0,0,1,0,290.103125
north,north_1,8,H42408,2196740,9000,north_1_3,1,(44,54],1,27302.0571413956,0,0,1,0,290.103125
north,north_1,8,H42573,2197035,9000,north_1_3,2,(44,54],1,9316.32908741738,0,0,1,0,290.103125
north,north_1,8,H42673,2197197,9000,north_1_3,1,(44,54],1,75124.8146556966,0,0,1,0,290.103125
north,north_1,8,H42801,2197414,9000,north_1_3,2,(44,54],1,157883.630495781,0,0,1,0,290.103125
north,north_1,8,H42896,2197571,9000,north_1_3,2,(34,44],1,27409.6255556027,0,0,1,0,290.103125
north,north_1,8,H42940,2197633,9000,north_1_3,2,(54,64],1,41628.2148403259,0,0,1,0,290.103125
north,north_1,8,H43346,2198295,9000,north_1_3,2,(74,112],0,9835.59603648359,0,1,1,0,290.103125
north,north_1,8,H43455,2198461,9000,north_1_3,1,(34,44],1,7418.35609071049,0,0,1,0,290.103125
north,north_1,8,H43458,2198465,9000,north_1_3,2,(34,44],1,65172.5754103628,0,0,1,0,290.103125
north,north_1,8,H43542,2198618,9000,north_1_3,1,(0,14],0,3753.88194071691,0,1,1,0,290.103125
north,north_1,8,H44389,2199969,9000,north_1_3,1,(34,44],1,29057.3595206426,0,0,1,0,290.103125
north,north_1,8,H44424,2200023,9000,north_1_3,2,(14,24],1,17577.4386687248,0,0,1,0,290.103125
north,north_1,8,H44496,2200144,9000,north_1_3,1,(44,54],0,6603.35566003963,1,0,1,0,290.103125
north,north_1,8,H44580,2200279,9000,north_1_3,2,(44,54],1,5010.69484433336,0,0,1,0,290.103125
north,north_1,8,H44705,2200473,9000,north_1_3,1,(74,112],0,58087.1514477885,0,1,1,0,290.103125
north,north_1,8,H44835,2200687,9000,north_1_3,2,(54,64],1,44077.4874265344,0,0,1,0,290.103125
north,north_1,8,H44906,2200796,9000,north_1_3,2,(24,34],1,54322.5039057246,0,0,1,0,290.103125
north,north_1,8,H45028,2200972,9000,north_1_3,1,(74,112],0,12589.6697926477,0,1,1,0,290.103125
north,north_1,8,H45049,2201010,9000,north_1_3,2,(74,112],0,24019.3082821743,0,1,1,0,290.103125
north,north_1,8,H45212,2201247,9000,north_1_3,2,(54,64],1,17486.2817944721,0,0,1,0,290.103125
north,north_1,8,H45303,2201377,9000,north_1_3,1,(64,74],1,25463.7628563017,0,0,1,0,290.103125
north,north_1,8,H45378,2201484,9000,north_1_3,1,(34,44],1,17106.065481072,0,0,1,0,290.103125
north,north_1,8,H45589,2201780,9000,north_1_3,1,(64,74],1,45061.2881767723,0,0,1,0,290.103125
north,north_1,8,H45652,2201872,9000,north_1_3,2,(44,54],1,32057.6797350945,0,0,1,0,290.103125
north,north_1,8,H45811,2202106,9000,north_1_3,1,(74,112],0,23330.630156226,0,1,1,0,290.103125
north,north_1,8,H46419,2202978,9000,north_1_3,1,(74,112],0,34801.8404469179,0,1,1,0,290.103125
north,north_1,8,H46509,2203111,9000,north_1_3,2,(54,64],0,3406.08118119125,1,0,1,0,290.103125
north,north_1,8,H46534,2203143,9000,north_1_3,2,(44,54],1,56678.6606126699,0,0,1,0,290.103125
north,north_1,8,H46577,2203203,9000,north_1_3,2,(24,34],1,17297.7370900954,0,0,1,0,290.103125
north,north_1,8,H46950,2203702,9000,north_1_3,1,(54,64],1,52398.6752461704,0,0,1,0,290.103125
north,north_1,8,H47058,2203846,9000,north_1_3,1,(64,74],1,47284.0705869677,0,0,1,0,290.103125
north,north_1,8,H47402,2204304,9000,north_1_3,1,(74,112],0,30064.5824781791,0,1,1,0,290.103125
north,north_1,8,H48322,2205443,9000,north_1_3,2,(24,34],1,42820.488419312,0,0,1,0,290.103125
north,north_1,8,H48625,2205790,9000,north_1_3,1,(34,44],1,14739.4091590782,0,0,1,0,290.103125
north,north_1,8,H48790,2205974,9000,north_1_3,2,(74,112],0,26693.308147142,0,1,1,0,290.103125
north,north_1,8,H48898,2206094,9000,north_1_3,2,(44,54],1,14568.2395907859,0,0,1,0,290.103125
north,north_1,8,H48939,2206137,9000,north_1_3,2,(74,112],0,11583.0239648205,0,1,1,0,290.103125
north,north_1,8,H48942,2206140,9000,north_1_3,2,(54,64],1,36474.2925020733,0,0,1,0,290.103125
north,north_1,8,H49072,2206278,9000,north_1_3,1,(24,34],1,39508.2093159419,0,0,1,0,290.103125
north,north_1,8,H49127,2206335,9000,north_1_3,2,(44,54],1,28666.9171617142,0,0,1,0,290.103125
north,north_1,8,H49148,2206358,9000,north_1_3,2,(44,54],1,15600.1872383226,0,0,1,0,290.103125
north,north_1,8,H49238,2206449,9000,north_1_3,1,(74,112],0,131123.565484003,0,1,1,0,290.103125
north,north_1,8,H49328,2206541,9000,north_1_3,1,(14,24],1,32520.3782947662,0,0,1,0,290.103125
north,north_1,8,H9098,2206648,9000,north_1_3,2,(74,112],0,1461.70582077936,0,1,1,0,290.103125
north,north_1,8,H9143,2206775,9000,north_1_3,2,(44,54],1,25200.2118387309,0,0,1,0,290.103125
north,north_1,8,H9288,2207208,9000,north_1_3,1,(14,24],1,8792.01142725002,0,0,1,0,290.103125
north,north_1,8,H9298,2207231,9000,north_1_3,2,(54,64],1,15394.0477368606,0,0,1,0,290.103125
north,north_1,8,H9412,2207739,9000,north_1_3,2,(64,74],0,6854.85082235394,1,0,1,0,290.103125
north,north_1,8,H9567,2208334,9000,north_1_3,2,(44,54],1,25078.8957070721,0,0,1,0,290.103125
north,north_1,8,H9650,2208581,9000,north_1_3,1,(64,74],1,28224.6551012973,0,0,1,0,290.103125
north,north_1,8,H9754,2208903,9000,north_1_3,1,(64,74],1,27641.818502082,0,0,1,0,290.103125
north,north_1,8,H9786,2208998,9000,north_1_3,2,(44,54],1,39892.5987494873,0,0,1,0,290.103125
north,north_1,8,H9871,2209278,9000,north_1_3,1,(0,14],0,18376.5647472184,0,1,1,0,290.103125
north,north_1,8,H9915,2209416,9000,north_1_3,2,(34,44],0,2672.4957858557,1,0,1,0,290.103125
north,north_1,8,H9991,2209663,9000,north_1_3,2,(44,54],1,33894.9456436735,0,0,1,0,290.103125
north,north_1,8,H14863,2131180,9000,north_1_3,2,(44,54],1,13300.6573294461,0,0,1,0,290.103125
north,north_1,8,H15024,2131644,9000,north_1_3,1,(24,34],1,38040.4105938587,0,0,1,0,290.103125
north,north_1,8,H15251,2132302,9000,north_1_3,1,(64,74],1,50365.8643867714,0,0,1,0,290.103125
north,north_1,8,H26822,2163122,9000,north_1_3,2,(14,24],1,31438.7992728544,0,0,1,0,290.103125
north,north_1,8,H26894,2163280,9000,north_1_3,2,(44,54],1,24474.8692907603,0,0,1,0,290.103125
north,north_1,8,H23282,2154061,9000,north_1_3,1,(0,14],0,13441.2575471794,0,1,1,0,290.103125
north,north_1,8,H23316,2154141,9000,north_1_3,1,(74,112],0,8293.33057289382,0,1,1,0,290.103125
north,north_1,8,H12663,2124797,9000,north_1_3,2,(14,24],1,33360.0351180084,0,0,1,0,290.103125
north,north_1,8,H12689,2124867,9000,north_1_3,2,(34,44],1,45674.395752374,0,0,1,0,290.103125
north,north_1,8,H12797,2125196,9000,north_1_3,1,(14,24],1,55695.0482456191,0,0,1,0,290.103125
north,north_1,8,H12837,2125308,9000,north_1_3,1,(64,74],1,30620.7080868755,0,0,1,0,290.103125
north,north_1,8,H12960,2125674,9000,north_1_3,1,(0,14],0,12489.4839291892,0,1,1,0,290.103125
north,north_1,8,H12997,2125785,9000,north_1_3,2,(24,34],1,46823.1122118339,0,0,1,0,290.103125
north,north_1,8,H13011,2125826,9000,north_1_3,2,(34,44],1,65612.1844087323,0,0,1,0,290.103125
north,north_1,8,H13034,2125902,9000,north_1_3,2,(74,112],0,26545.7767358063,0,1,1,0,290.103125
north,north_1,8,H13074,2126015,9000,north_1_3,1,(0,14],0,8314.07640556361,0,1,1,0,290.103125
